description,date,Ruggerio,Lynch Prata,Mr. President,Goldin,Satchell,Nesselbush,Picard,Calkin,Archambault,Cote,Kettle,Cool Rumsey,Raptakis,Seveney,Crowley,Algiere,Jabour,Da Ponte,Pagliarini,Gallo,Madam President,Coyne,Morgan,Metts,Sosnowski,Gee,Lynch,O'Neill,Doyle,Goodwin,Ciccone,Paiva Weed,Conley,Hodgson,Lombardo,Felag,Walaska,Pearson,Paolino,Pichardo,Sheehan,Fogarty,Miller,DiPalma,McCaffrey,Quezada,Bates,Ottiano,Lombardi
CALENDARITEM 27         2015-S 490 SUB AMiller           HEALTHINSURANCE COVERAGE FOR MENTALILLNESS AND SUBSTANCE ABUSEPassage,THURSDAY/ JUNE 04/ 20155:23:45 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 28         2015-S 493 SUB ARuggerio         HEALTHRELATING TO EDUCATION -HEALTH AND SAFETY OF PUPILSPassage,THURSDAY/ JUNE 04/ 20155:24:54 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 29              2015-S 555Picard           HEALTHSELF-INSURANCE OF DEVELOPMENTALDISABILITY AGENCIESPassage,THURSDAY/ JUNE 04/ 20155:25:49 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 30         2015-S 618 SUB ADoyle            HEALTHSTROKE PREVENTION ANDTREATMENT ACT OF 2009Passage,THURSDAY/ JUNE 04/ 20155:26:41 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 31         2015-S 683 SUB ANesselbush       HEALTHBUSINESSES AND PROFESSIONS --DENTISTS AND DENTAL HYGIENISTSPassage,THURSDAY/ JUNE 04/ 20155:27:43 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 32         2015-S 753 SUB AMiller           HEALTHRELATING TO BHDDH -MENTAL HEALTH LAWPassage,THURSDAY/ JUNE 04/ 20155:28:37 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 33              2015-S 817McCaffrey        HOUSINGSTATE AFFAIRS AND GOVERNMENT -DEPARTMENT OF ENVIRONMENTAL MGMTPassage,THURSDAY/ JUNE 04/ 20155:29:35 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 34         2015-S 134 SUB ADiPalma          JUDICIARYRELATING TO CRIMINAL OFFENSES -IDENTITY THEFT PROTECTIONPassage,THURSDAY/ JUNE 04/ 20155:34:23 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 35              2015-S 180Crowley          JUDICIARYSTATEWIDE ACCOUNTING OFUNSUBMITTED RAPE KITSApproval of AmendmentLC 000515/2,THURSDAY/ JUNE 04/ 20155:36:02 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 35              2015-S 180Crowley          JUDICIARYSTATEWIDE ACCOUNTING OFUNSUBMITTED RAPE KITSPassage as Amended,THURSDAY/ JUNE 04/ 20155:36:29 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 36              2015-S 255Crowley          JUDICIARYAN ACT RELATING TOALCOHOLIC BEVERAGESPassage,THURSDAY/ JUNE 04/ 20155:38:16 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 37              2015-S 288Gallo            JUDICIARYAN ACT RELATING TOMOTOR AND OTHER VEHICLESPassage,THURSDAY/ JUNE 04/ 20155:38:53 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 39              2015-S 347Walaska          JUDICIARYANIMAL AND ANIMAL HUSBANDRY -REGULATION OF VICIOUS DOGSApproval of AmendmentLC 000157/2,THURSDAY/ JUNE 04/ 20155:40:31 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N,Y,NV,Y,Y,N,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,NV,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 39              2015-S 347Walaska          JUDICIARYANIMAL AND ANIMAL HUSBANDRY -REGULATION OF VICIOUS DOGSPassage as Amended,THURSDAY/ JUNE 04/ 20155:42:30 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,N,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,N,Y,NV,N,Y,N,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,NV,NV,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 40              2015-S 384DaPonte          JUDICIARYRELATING TO ELECTIONS -RHODE ISLAND CAMPAIGN REPORTINGApproval of AmendmentLC 001810/2,THURSDAY/ JUNE 04/ 20155:44:00 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 40              2015-S 384DaPonte          JUDICIARYRELATING TO ELECTIONS -RHODE ISLAND CAMPAIGN REPORTINGPassage as Amended,THURSDAY/ JUNE 04/ 20155:44:25 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,NV,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 41              2015-S 440Jabour           JUDICIARYRELATING TO PROPERTY -RESIDENTIAL SECURITY DEPOSITSPassage,THURSDAY/ JUNE 04/ 20155:45:13 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
"CALENDARITEM 42         2015-S 502 SUB ALombardi         JUDICIARYRELATING TO PROPERTY- REDEMPTIONRELEASE, & TRANSFER OF MORTGAGESPassage",THURSDAY/ JUNE 04/ 20155:46:16 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,R,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,R,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 43         2015-S 515 SUB AMcCaffrey        JUDICIARYRELATING TO CRIMINAL PROCEDURE -EXPUNGEMENTSPassage,THURSDAY/ JUNE 04/ 20155:47:26 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 44              2015-S 518McCaffrey        JUDICIARYUNIFORM CONTROLLED SUBSTANCESACT - OFFENSES & PENALTIESApproval of AmendmentLC 001899/2,THURSDAY/ JUNE 04/ 20155:48:54 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 44              2015-S 518McCaffrey        JUDICIARYUNIFORM CONTROLLED SUBSTANCESACT - OFFENSES & PENALTIESPassage as Amended,THURSDAY/ JUNE 04/ 20155:49:20 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 45              2015-S 524Archambault      JUDICIARYRELATING TO PUBLIC FINANCE -STATE BUDGETPassage,THURSDAY/ JUNE 04/ 20155:50:05 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 46              2015-S 530Lombardi         JUDICIARYRELATING TO PUBLIC FINANCE -ACCOUNTS AND CONTROLPassage,THURSDAY/ JUNE 04/ 20155:50:46 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 48              2015-S 668McCaffrey        JUDICIARYRELATING TO ELECTIONS -MAIL BALLOTSPassage,THURSDAY/ JUNE 04/ 20155:51:44 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 49         2015-S 714 SUB ARuggerio         JUDICIARYRELATING TO CRIMINAL OFFENSES -CHILDRENPassage,THURSDAY/ JUNE 04/ 20155:52:55 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 50              2015-S 844Goodwin          JUDICIARYRELATING TO TOWNS AND CITIES -ORDINANCESPassage,THURSDAY/ JUNE 04/ 20155:53:48 PM,Y,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N/A,NV,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CONSENT CALENDAR,WEDNESDAY/ JUNE 10/ 20154:29:45 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 1          2015-S 155 SUB APicard           EDUCATIONRELATING TO EDUCATION -CERTIFICATION OF TEACHERSLC 000856/2Approval of Amendment,WEDNESDAY/ JUNE 10/ 20154:32:45 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 1          2015-S 155 SUB APicard           EDUCATIONRELATING TO EDUCATION -CERTIFICATION OF TEACHERSPassage as Amended,WEDNESDAY/ JUNE 10/ 20154:33:05 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 3               2015-S 333Ciccone          JUDICIARYRELATING TO CRIMINAL OFFENSES -TRESPASS AND VANDALISMPassage,WEDNESDAY/ JUNE 10/ 20154:33:48 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,N,N,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 4          2015-S 825 SUB AMcCaffrey        JUDICIARYCOURTS AND CIVIL PROCEDURE -PROCEDURE GENERALLYLC 002007/2Approval of Amendment,WEDNESDAY/ JUNE 10/ 20154:34:52 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,NV,Y,NV,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 4          2015-S 825 SUB AMcCaffrey        JUDICIARYCOURTS AND CIVIL PROCEDURE -PROCEDURE GENERALLYApproval of Amendment,WEDNESDAY/ JUNE 10/ 20154:35:17 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 6          2015-S 367 SUB ASosnowski        EDUCATIONRELATING TO EDUCATION -HEALTH AND SAFETY OF PUPILSPassage,WEDNESDAY/ JUNE 10/ 20154:36:19 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 7          2015-S 459 SUB APicard           EDUCATIONRELATING TO EDUCATION -CURRICULUMPassage,WEDNESDAY/ JUNE 10/ 20154:37:09 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 8          2015-S 121 SUB ASatchell         FINANCETAXATION - SALES & USE TAXES -LIABILITY AND COMPUTATIONPassage,WEDNESDAY/ JUNE 10/ 20154:37:57 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 9               2015-S 274Nesselbush       LABORLABOR AND LABOR RELATIONS -WAGESPassage,WEDNESDAY/ JUNE 10/ 20154:39:20 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 10              2015-S 534Conley           LABORSTATE AFFAIRS AND GOVERNMENT -GOVERNOR'S WORKFORCE BOARDPassage,WEDNESDAY/ JUNE 10/ 20154:40:36 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 11         2015-S 602 SUB AMcCaffrey        LABORBUSINESSES AND PROFESSIONS -ELECTRICIANSPassage,WEDNESDAY/ JUNE 10/ 20154:41:24 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 13         2015-S 759 SUB ALombardi         LABORLABOR AND LABOR RELATIONS -EMPLOYMENT SECURITY BENEFITSPassage,WEDNESDAY/ JUNE 10/ 20154:42:36 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 14         2015-S 761 SUB ALombardo         LABORLABOR AND LABOR RELATIONS -EMPLOYMENT SECURITY - BENEFITSPassage,WEDNESDAY/ JUNE 10/ 20154:43:26 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 15              2015-S 774Gallo            LABORLABOR AND LABOR RELATIONS -EMPLOYMENT OF WOMEN AND CHILDRENPassage,WEDNESDAY/ JUNE 10/ 20154:44:35 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 16              2015-S 959DiPalma          SPECIAL LEGALCOHOLIC BEVERAGES -RETAIL LICENSES - MIDDLETOWNPassage,WEDNESDAY/ JUNE 10/ 20154:45:25 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
"NEW BUSINESSSen. SATCHELL        2015-S 0982PROCLAIMING SEPTEMBER 13TH, 2015TO BE ""ALEXANDRA CURTIS DAY""IN THE STATE OF RHODE ISLANDIMMEDIATE CONSIDERATIONPASSAGE",WEDNESDAY/ JUNE 10/ 20154:48:05 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 3          2015-S 167 SUB AMiller           HEALTHINSURANCE - ACCESS TO ABUSE -DETERRENT PAIN MEDICATIONSPassage,THURSDAY/ JUNE 11/ 20154:48:19 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 4          2015-S 477 SUB ASatchell         HEALTHAN ACT RELATING TOFOOD AND DRUGSPassage,THURSDAY/ JUNE 11/ 20154:49:14 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 5         2015-H 5074 SUB ABennett          ORDEREDLABOR AND LABOR RELATIONS -MINIMUM WAGEPassageIn Concurrence,THURSDAY/ JUNE 11/ 20154:49:56 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,N,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
CALENDARITEM 6              2015-H 5871Craven           JUDICIARYCOURTS AND CIVIL PROCEDURE -PROCEDURE IN PARTICULAR ACTIONSPassageIn Concurrence,THURSDAY/ JUNE 11/ 20154:50:46 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,Y,Y
NEW BUSINESSRep. McNAMARA        2015-H 6186AN ACT RELATING TOSOLEMNIZATION OF MARRIAGESIMMEDIATE CONSIDERATIONPASSAGE in CONCURRENCE,TUESDAY/ JUNE 16/ 20154:56:21 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,NV,NV,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,NV,Y,Y,NV,N/A,N/A,Y,NV
CALENDARITEM 1               2015-S 746Sosnowski        LABORLABOR AND LABOR RELATIONS -FAIR EMPLOYMENT PRACTICESPassage,TUESDAY/ JUNE 16/ 20154:58:51 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 2               2015-S 303Goldin           FINANCEHEALTH AND SAFETY- PUBLIC HEALTHAND WORKPLACE SAFETY ACTApproval of AmendmentLC 001261/6,TUESDAY/ JUNE 16/ 20155:02:06 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 2               2015-S 303Goldin           FINANCEHEALTH AND SAFETY- PUBLIC HEALTHAND WORKPLACE SAFETY ACTPassage as Amended,TUESDAY/ JUNE 16/ 20155:02:33 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,N,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 4               2015-S 219DaPonte          FINANCEAN ACT RELATING TOTAXATIONPassage,TUESDAY/ JUNE 16/ 20155:03:52 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
CALENDARITEM 5               2015-S 304DaPonte          FINANCERELATING TO EDUCATION --CHILDREN WITH DISABILITIESPassage,TUESDAY/ JUNE 16/ 20155:05:08 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,NV,N/A,N/A,Y,Y
